#,Building,"APT No",Level,Aspect,Floorplan,"APT Size(approx BOMA m2 ft2)","Approx Patio Balcony(m2 ft2)","Car park",Bed,Bath,"Price GST Incl",status
1,"West Building",1A,3,"NORTH WEST",C,500,220,1,2,2,514800,AVAILABLE
2,"North Building",2A,1,"SOUTH EAST",A,550,230,2,2,2,544500,AVAILABLE
3,"East Building",1B,3,"NORTH EAST",B,600,235,1,3,3,544500,AVAILABLE
4,"South Building",1D,5,"SOUTH WEST",C,450,215,1,1,1,554400,AVAILABLE
5,"West Building",2B,2,"NORTH WEST",A,500,200,1,2,2,559350,AVAILABLE
6,"West Building",3C,1,"SOUTH EAST",B,650,250,2,2,2,559350,AVAILABLE
7,"West Building",2B,3,"NORTH EAST",C,500,220,1,3,3,643500,AVAILABLE
8,"North Building",3C,2,"SOUTH WEST",A,550,220,1,1,1,643500,AVAILABLE
9,"East Building",1B,3,"NORTH WEST",B,600,230,1,2,2,674190,AVAILABLE
10,"West Building",2B,2,"NORTH EAST",A,550,220,1,3,3,674190,AVAILABLE
11,"North Building",3C,3,"SOUTH WEST",B,600,230,1,2,2,674190,AVAILABLE
12,"East Building",1B,4,"NORTH WEST",C,450,235,2,2,2,674190,AVAILABLE
13,"South Building",1D,4,"SOUTH EAST",A,500,220,1,3,3,674190,AVAILABLE
14,"West Building",2B,1,"NORTH EAST",B,650,230,1,1,1,674190,AVAILABLE
