#,Building,"APT No",Level,Aspect,Floorplan,"APT Size(approx BOMA m2 ft2)","Approx Patio Balcony(m2 ft2)","Car park",Bed,Bath,"Price GST Incl",status
1,"West Building",,3,"NORTH WEST",C,500,220,1,2,2,520000,AVAILABLE
2,"North Building",,1,"SOUTH EAST",A,550,230,2,2,2,550000,AVAILABLE
3,"East Building",,3,"NORTH EAST",B,600,235,1,3,3,550000,AVAILABLE
4,"South Building",,5,"SOUTH WEST",C,450,215,1,1,1,560000,AVAILABLE
5,"West Building",,2,"NORTH WEST",A,500,200,1,2,2,565000,AVAILABLE
6,"West Building",,1,"SOUTH EAST",B,650,250,2,2,2,565000,AVAILABLE
7,"West Building",,3,"NORTH EAST",C,500,220,1,3,3,650000,AVAILABLE
8,"North Building",,2,"SOUTH WEST",A,550,220,1,1,1,650000,AVAILABLE
9,"East Building",,3,"NORTH WEST",B,600,230,1,2,2,681000,AVAILABLE
10,"South Building",,1,"SOUTH EAST",C,500,235,2,2,2,681000,AVAILABLE
11,"West Building",,2,"NORTH EAST",A,550,220,1,3,3,681000,AVAILABLE
12,"North Building",,3,"SOUTH WEST",B,600,230,1,2,2,681000,AVAILABLE
13,"East Building",,4,"NORTH WEST",C,450,235,2,2,2,681000,AVAILABLE
14,"South Building",,4,"SOUTH EAST",A,500,220,1,3,3,681000,AVAILABLE
15,"West Building",,1,"NORTH EAST",B,650,230,1,1,1,681000,AVAILABLE
